,paper_id,outdegree,sum_outdegrees_successors,avg_outdegree_successors
236,9911215,17,390,22.941176470588236
237,9912018,19,411,21.63157894736842
238,1017,10,46,4.6
239,9609035,1,0,0.0
240,9610193,0,0,0.0
241,9808129,6,17,2.8333333333333335
242,9811053,3,8,2.6666666666666665
243,9811077,9,53,5.888888888888889
244,9811171,6,19,3.1666666666666665
245,9902140,7,24,3.4285714285714284
246,9903223,5,16,3.2
247,9905215,7,39,5.571428571428571
248,1018,18,352,19.555555555555557
249,9603087,16,291,18.1875
250,9604035,38,756,19.894736842105264
251,9604179,17,345,20.294117647058822
252,9609212,24,548,22.833333333333332
253,9701042,29,738,25.448275862068964
254,9801049,41,1481,36.1219512195122
255,9802163,55,2039,37.07272727272727
256,9906048,22,581,26.40909090909091
257,9911043,10,146,14.6
258,9911218,9,160,17.77777777777778
259,9912135,11,182,16.545454545454547
260,9912175,27,408,15.11111111111111
261,1019,9,91,10.11111111111111
262,2049,11,107,9.727272727272727
263,9605022,5,10,2.0
264,9703097,2,2,1.0
265,9707253,6,10,1.6666666666666667
266,9908101,7,32,4.571428571428571
267,9908149,34,170,5.0
268,9909210,6,31,5.166666666666667
269,9912176,7,48,6.857142857142857
270,9912223,13,83,6.384615384615385
271,1020,1,0,0.0
272,9805177,0,0,0.0
273,1021,15,178,11.866666666666667
274,9406206,11,58,5.2727272727272725
275,9505186,5,71,14.2
276,9510017,10,100,10.0
277,9604136,3,16,5.333333333333333
278,9606187,4,31,7.75
279,9609198,10,70,7.0
280,9701178,17,221,13.0
281,9704157,7,64,9.142857142857142
282,9705105,2,10,5.0
283,9705193,21,238,11.333333333333334
284,9801102,14,146,10.428571428571429
285,9806068,21,274,13.047619047619047
286,9906007,3,47,15.666666666666666
287,9912105,10,85,8.5
288,1022,3,23,7.666666666666667
289,9311055,2,0,0.0
290,9802096,4,17,4.25
291,9902115,17,66,3.8823529411764706
292,1023,6,56,9.333333333333334
293,9512044,2,6,3.0
294,9612084,14,91,6.5
295,9706031,8,32,4.0
296,9908073,6,43,7.166666666666667
297,9910131,10,83,8.3
298,9912113,16,173,10.8125
299,1024,20,291,14.55
300,9301050,0,0,0.0
301,9512153,13,251,19.307692307692307
302,9606139,26,393,15.115384615384615
303,9612128,5,65,13.0
304,9702202,21,378,18.0
305,9704057,12,232,19.333333333333332
306,9710129,11,197,17.90909090909091
307,9811022,19,385,20.263157894736842
308,9812074,21,404,19.238095238095237
309,9904109,22,425,19.318181818181817
310,9905196,1,15,15.0
311,9905217,10,206,20.6
312,9907066,3,24,8.0
313,9909007,13,371,28.53846153846154
314,9909015,27,689,25.51851851851852
315,9909098,20,525,26.25
316,9910095,18,247,13.722222222222221
317,9911080,28,926,33.07142857142857
318,9912081,13,207,15.923076923076923
319,9912226,8,123,15.375
320,1025,39,630,16.153846153846153
321,9203079,1,0,0.0
322,9203084,0,0,0.0
323,9301042,0,0,0.0
324,9301043,0,0,0.0
325,9308005,6,0,0.0
326,9308083,4,0,0.0
327,9309140,19,26,1.368421052631579
328,9402119,3,0,0.0
329,9403123,3,1,0.3333333333333333
330,9403187,11,27,2.4545454545454546
331,9404060,4,8,2.0
332,9406055,15,37,2.466666666666667
333,9502072,23,170,7.391304347826087
334,9507012,9,102,11.333333333333334
335,9510227,7,66,9.428571428571429
336,9512016,11,74,6.7272727272727275
337,9606112,14,198,14.142857142857142
338,9609017,41,967,23.585365853658537
339,9612181,21,494,23.523809523809526
340,9710206,29,448,15.448275862068966
341,9712186,39,778,19.94871794871795
342,9804131,12,181,15.083333333333334
343,9807056,22,575,26.136363636363637
344,9807087,84,2186,26.023809523809526
345,9811237,34,801,23.558823529411764
346,9903139,10,294,29.4
347,9906200,58,1097,18.913793103448278
348,9907013,4,22,5.5
349,9908135,18,492,27.333333333333332
350,9910170,32,727,22.71875
351,9912279,17,251,14.764705882352942
352,1026,6,87,14.5
353,9310144,3,0,0.0
354,9312059,14,16,1.1428571428571428
355,9405110,2,14,7.0
356,9411163,8,29,3.625
357,9412228,53,195,3.6792452830188678
358,9910178,7,88,12.571428571428571
359,1027,19,420,22.105263157894736
360,9603053,0,0,0.0
361,9802068,25,678,27.12
362,9802085,23,417,18.130434782608695
363,9903077,17,216,12.705882352941176
364,9903107,22,527,23.954545454545453
365,9903187,12,128,10.666666666666666
366,9908038,59,1197,20.28813559322034
367,9908141,19,448,23.57894736842105
368,9910004,24,541,22.541666666666668
369,9910091,16,310,19.375
370,9911041,25,506,20.24
371,9911098,14,316,22.571428571428573
372,9912072,17,301,17.705882352941178
373,9912075,14,314,22.428571428571427
374,9912094,13,286,22.0
375,9912167,22,418,19.0
376,1028,6,95,15.833333333333334
377,9706175,10,259,25.9
378,9712195,24,591,24.625
379,9802162,13,66,5.076923076923077
380,9809070,25,639,25.56
381,9812136,5,85,17.0
382,9910055,18,452,25.11111111111111
383,1029,33,715,21.666666666666668
384,9209101,0,0,0.0
385,9510169,9,134,14.88888888888889
386,9510209,18,290,16.11111111111111
387,9602052,51,701,13.745098039215685
388,9603142,4,80,20.0
389,9605150,21,416,19.80952380952381
390,9608111,18,345,19.166666666666668
391,9609111,18,576,32.0
392,9611007,14,248,17.714285714285715
393,9711098,18,389,21.61111111111111
394,9712035,25,552,22.08
395,9712086,31,724,23.35483870967742
396,9804176,46,1080,23.47826086956522
397,9809122,16,394,24.625
398,9811194,14,457,32.642857142857146
399,9812028,31,749,24.161290322580644
400,9812209,28,858,30.642857142857142
401,9907134,38,980,25.789473684210527
402,9907164,18,454,25.22222222222222
403,1030,4,13,3.25
404,9406173,2,2,1.0
405,9612009,5,13,2.6
406,9704150,1,2,2.0
407,9902165,5,11,2.2
408,1031,3,115,38.333333333333336
409,9806236,16,265,16.5625
410,9910096,24,402,16.75
411,1032,6,155,25.833333333333332
412,9807198,17,393,23.11764705882353
413,9910138,20,403,20.15
414,9912070,11,365,33.18181818181818
415,1033,63,1101,17.476190476190474
416,1071,20,494,24.7
417,9906182,10,850,85.0
418,9906204,18,325,18.055555555555557
419,9908104,10,184,18.4
420,9909048,7,133,19.0
421,9909070,28,669,23.892857142857142
422,9909103,30,535,17.833333333333332
423,9909199,28,548,19.571428571428573
424,9910081,28,555,19.821428571428573
425,9910093,4,27,6.75
426,9910132,7,80,11.428571428571429
427,9910174,44,1040,23.636363636363637
428,9910269,8,145,18.125
429,9911083,22,324,14.727272727272727
430,9911104,19,231,12.157894736842104
431,9911165,10,152,15.2
432,9911181,13,242,18.615384615384617
433,9911237,20,340,17.0
434,9912001,39,1425,36.53846153846154
435,9912060,22,361,16.40909090909091
436,9912125,53,1055,19.90566037735849
437,9912160,5,29,5.8
438,9912166,6,88,14.666666666666666
439,9912182,19,362,19.05263157894737
440,9912186,9,85,9.444444444444445
441,9912193,18,223,12.38888888888889
442,9912230,28,493,17.607142857142858
443,9912232,20,295,14.75
444,9912233,15,221,14.733333333333333
445,9912287,16,799,49.9375
446,1034,4,8,2.0
447,9702007,3,4,1.3333333333333333
448,9707073,4,7,1.75
449,1035,9,125,13.88888888888889
450,9404162,11,28,2.5454545454545454
451,9510106,15,139,9.266666666666667
452,9604123,16,103,6.4375
453,9805028,8,141,17.625
454,9902098,30,439,14.633333333333333
455,9902099,7,100,14.285714285714286
456,9907200,22,323,14.681818181818182
457,9908041,11,206,18.727272727272727
458,9910205,5,97,19.4
459,1036,16,171,10.6875
460,9411047,6,55,9.166666666666666
461,9411048,2,17,8.5
462,9411149,11,58,5.2727272727272725
463,9503179,18,92,5.111111111111111
464,9505006,7,33,4.714285714285714
465,9505062,14,90,6.428571428571429
466,9505075,15,120,8.0
467,9505100,6,41,6.833333333333333
468,9505150,18,191,10.61111111111111
469,9511154,7,67,9.571428571428571
470,9603002,20,233,11.65
471,9603042,20,203,10.15
472,9608129,11,172,15.636363636363637
473,9707005,0,0,0.0
474,1037,22,452,20.545454545454547
475,9205041,0,0,0.0
476,9506014,5,9,1.8
477,9511222,15,177,11.8
478,9607229,29,513,17.689655172413794
479,9808080,19,347,18.263157894736842
480,9902120,35,845,24.142857142857142
481,9903031,13,163,12.538461538461538
482,9907131,22,368,16.727272727272727
483,9910172,24,436,18.166666666666668
484,9912147,18,515,28.61111111111111
485,9912151,22,464,21.09090909090909
486,9912188,27,564,20.88888888888889
487,1038,2,3,1.5
488,9511055,1,0,0.0
489,9704160,2,1,0.5
490,1039,2,11,5.5
491,9506042,3,3,1.0
492,9906169,8,45,5.625
493,1040,1,0,0.0
494,9912054,0,0,0.0
495,1041,47,875,18.617021276595743
496,9208059,0,0,0.0
497,9302047,0,0,0.0
498,9307010,1,3,3.0
499,9308075,4,2,0.5
500,9410191,5,9,1.8
501,9411068,3,1,0.3333333333333333
502,9604089,29,602,20.75862068965517
503,9605009,22,172,7.818181818181818
504,9608125,7,49,7.0
505,9610234,11,115,10.454545454545455
506,9703040,51,1254,24.58823529411765
507,9704108,7,36,5.142857142857143
508,9708005,50,1330,26.6
509,9708042,10,76,7.6
510,9803051,34,829,24.38235294117647
511,9803053,8,145,18.125
512,9803068,19,441,23.210526315789473
513,9803077,28,658,23.5
514,9804083,21,573,27.285714285714285
515,9805156,41,864,21.073170731707318
516,9806016,8,171,21.375
517,9808060,19,443,23.31578947368421
518,9808162,11,213,19.363636363636363
519,9810256,12,34,2.8333333333333335
520,9812218,37,1102,29.783783783783782
521,9901021,8,153,19.125
522,9901121,36,737,20.47222222222222
523,9902153,34,797,23.441176470588236
524,9903161,15,377,25.133333333333333
525,9905005,8,63,7.875
526,9905075,17,406,23.88235294117647
527,9905163,7,127,18.142857142857142
528,9907047,19,1119,58.89473684210526
529,9908014,11,131,11.909090909090908
530,9908107,3,26,8.666666666666666
531,9909094,24,441,18.375
532,9909179,18,1041,57.833333333333336
533,9910192,13,796,61.23076923076923
534,9910267,8,687,85.875
535,9911109,19,346,18.210526315789473
536,9911129,8,111,13.875
537,9911135,50,1682,33.64
538,9911238,30,1156,38.53333333333333
539,1042,12,83,6.916666666666667
540,9401153,3,0,0.0
541,9402015,0,0,0.0
542,9407056,3,3,1.0
543,9707028,2,6,3.0
544,9707057,0,0,0.0
545,9710175,7,18,2.5714285714285716
546,9710233,9,42,4.666666666666667
547,9712188,8,27,3.375
548,9804136,6,24,4.0
549,9809022,23,633,27.52173913043478
550,9904029,11,46,4.181818181818182
551,9908161,11,64,5.818181818181818
552,1044,16,399,24.9375
553,9806155,5,146,29.2
554,9807235,25,432,17.28
555,9808141,27,423,15.666666666666666
556,9812135,34,748,22.0
557,9901159,16,336,21.0
558,9902105,18,481,26.72222222222222
559,9903123,31,807,26.032258064516128
560,9904207,73,1534,21.013698630136986
561,9905159,5,130,26.0
562,9908126,29,740,25.517241379310345
563,9911116,22,426,19.363636363636363
564,9912249,20,309,15.45
565,9912275,33,1083,32.81818181818182
566,1045,3,6,2.0
567,9802149,0,0,0.0
568,9912102,2,1,0.5
569,9912291,4,39,9.75
570,1046,7,44,6.285714285714286
571,9505078,0,0,0.0
572,9512070,0,0,0.0
573,9705156,10,30,3.0
574,9807052,13,45,3.4615384615384617
575,9904202,5,12,2.4
576,9906080,3,53,17.666666666666668
577,9907081,13,65,5.0
578,1047,9,132,14.666666666666666
579,9301069,0,0,0.0
580,9411021,7,36,5.142857142857143
581,9411025,3,28,9.333333333333334
582,9903030,9,215,23.88888888888889
583,9904191,16,413,25.8125
584,1048,4,4,1.0
585,9703083,0,0,0.0
586,9705006,1,0,0.0
587,9707128,1,2,2.0
588,9809019,2,2,1.0
589,1049,29,796,27.448275862068964
590,3022,27,718,26.59259259259259
591,208020,0,0,0.0
592,9511043,18,247,13.722222222222221
593,9601143,3,3,1.0
594,9608127,26,718,27.615384615384617
595,9611050,71,1309,18.43661971830986
596,9701190,12,292,24.333333333333332
597,9707068,20,508,25.4
598,9709062,83,2458,29.6144578313253
599,9802088,26,552,21.23076923076923
600,9803194,54,1153,21.35185185185185
601,9805019,30,600,20.0
602,9805091,25,778,31.12
603,9809111,11,210,19.09090909090909
604,9812031,38,764,20.105263157894736
605,9901014,22,433,19.681818181818183
606,9904201,8,56,7.0
607,9905006,36,865,24.02777777777778
608,9908060,34,799,23.5
609,9910109,36,883,24.52777777777778
610,9912079,30,843,28.1
611,9912161,10,490,49.0
612,1050,2,26,13.0
613,9405109,10,23,2.3
614,9705007,16,83,5.1875
615,1051,24,565,23.541666666666668
616,9507121,13,103,7.923076923076923
617,9508143,15,244,16.266666666666666
618,9511164,23,252,10.956521739130435
619,9605199,17,365,21.470588235294116
620,9606044,13,286,22.0
621,9608047,8,116,14.5
622,9608186,17,394,23.176470588235293
623,9610076,14,300,21.428571428571427
624,9611063,26,474,18.23076923076923
625,9706110,74,1889,25.527027027027028
626,9709013,20,384,19.2
627,9903215,36,727,20.194444444444443
628,9908082,19,462,24.31578947368421
629,1052,2,4,2.0
630,9805040,1,0,0.0
631,9807083,3,3,1.0
632,1053,18,315,17.5
633,9211075,0,0,0.0
634,9503205,11,130,11.818181818181818
635,9511187,14,189,13.5
636,9712256,5,18,3.6
637,9806024,14,273,19.5
638,9806194,37,828,22.37837837837838
639,9812046,19,467,24.57894736842105
640,9812073,26,694,26.692307692307693
641,9903219,23,400,17.391304347826086
642,9903224,30,671,22.366666666666667
643,9905104,33,880,26.666666666666668
644,9906215,9,183,20.333333333333332
645,9907087,20,346,17.3
646,9909110,27,1087,40.25925925925926
647,9909149,10,198,19.8
648,9911039,29,885,30.517241379310345
649,1054,45,1899,42.2
650,9308124,14,16,1.1428571428571428
651,9411057,2,16,8.0
652,9506122,17,96,5.647058823529412
653,9512145,17,261,15.352941176470589
654,9604034,56,1067,19.053571428571427
655,9604055,30,572,19.066666666666666
656,9611190,165,3347,20.284848484848485
657,9611230,20,279,13.95
658,9704018,37,742,20.054054054054053
659,9704089,22,448,20.363636363636363
660,9705131,126,2522,20.015873015873016
661,9705221,30,717,23.9
662,9708086,11,124,11.272727272727273
663,9802042,38,875,23.026315789473685
664,9802067,214,6283,29.35981308411215
665,9805171,21,446,21.238095238095237
666,9807096,35,861,24.6
667,9808017,21,497,23.666666666666668
668,9808149,29,876,30.20689655172414
669,9905111,562,13715,24.40391459074733
670,9906070,23,467,20.304347826086957
671,9907178,33,1382,41.878787878787875
672,9910182,19,344,18.105263157894736
673,1055,32,722,22.5625
674,9409188,2,1,0.5
675,9503121,6,33,5.5
676,9503208,9,64,7.111111111111111
677,9605033,12,206,17.166666666666668
678,9710065,21,462,22.0
679,9712049,40,1056,26.4
680,9712168,29,897,30.93103448275862
681,9712230,19,556,29.263157894736842
682,9801134,29,695,23.96551724137931
683,9801147,15,349,23.266666666666666
684,9802183,17,393,23.11764705882353
685,9805139,35,946,27.02857142857143
686,9806074,18,437,24.27777777777778
687,9806180,13,332,25.53846153846154
688,9807080,23,510,22.17391304347826
689,9807082,16,425,26.5625
690,9810201,68,1530,22.5
691,9811004,38,1159,30.5
692,9904104,15,301,20.066666666666666
693,9906242,53,1089,20.547169811320753
694,9907186,11,281,25.545454545454547
695,9910145,17,864,50.8235294117647
696,1056,12,206,17.166666666666668
697,9206084,1,0,0.0
698,9304146,0,0,0.0
699,9912155,29,1114,38.41379310344828
700,1057,27,732,27.11111111111111
701,9606033,42,1022,24.333333333333332
702,9611047,36,967,26.86111111111111
703,9612095,31,681,21.967741935483872
704,9612229,35,868,24.8
705,9704120,22,595,27.045454545454547
706,9803001,24,615,25.625
707,9803002,14,353,25.214285714285715
708,9803135,33,757,22.939393939393938
709,9803137,33,742,22.484848484848484
710,9803263,44,1086,24.681818181818183
711,9805129,30,747,24.9
712,9806021,23,675,29.347826086956523
713,9806171,7,240,34.285714285714285
714,9808117,20,581,29.05
715,9810186,18,441,24.5
716,9811120,27,712,26.37037037037037
717,9811156,23,567,24.652173913043477
718,9901056,13,348,26.76923076923077
719,9902067,19,420,22.105263157894736
720,1060,7,50,7.142857142857143
721,9406199,0,0,0.0
722,9410141,1,1,1.0
723,9512108,1,0,0.0
724,9601128,2,8,4.0
725,9605039,32,186,5.8125
726,9612117,11,40,3.6363636363636362
727,9709155,3,2,0.6666666666666666
728,1061,2,1,0.5
729,9706214,0,0,0.0
730,9812099,1,0,0.0
731,1062,12,150,12.5
732,9203071,1,0,0.0
733,9207111,0,0,0.0
734,9303017,4,3,0.75
735,9310008,2,1,0.5
736,9405002,15,55,3.6666666666666665
737,9405024,0,0,0.0
738,9407049,6,9,1.5
739,9412209,18,92,5.111111111111111
740,9810187,19,214,11.263157894736842
741,9812068,44,990,22.5
742,9901150,21,541,25.761904761904763
743,1063,16,274,17.125
744,9206008,0,0,0.0
745,9705208,10,129,12.9
746,9712258,1,0,0.0
747,9908189,31,523,16.870967741935484
748,1064,13,133,10.23076923076923
749,9203016,0,0,0.0
750,9205088,0,0,0.0
751,9303077,1,0,0.0
752,9303136,1,0,0.0
753,9305087,5,10,2.0
754,9403143,16,35,2.1875
755,9502140,5,62,12.4
756,9603012,13,46,3.5384615384615383
757,9607215,7,87,12.428571428571429
758,9612118,8,109,13.625
759,9708035,8,109,13.625
760,1065,17,945,55.588235294117645
761,9508042,5,52,10.4
762,9511203,5,69,13.8
763,9804177,1,16,16.0
764,9806069,29,602,20.75862068965517
765,9807137,22,534,24.272727272727273
766,9902007,9,147,16.333333333333332
767,9902131,50,1372,27.44
768,9907006,53,1807,34.094339622641506
769,1066,35,961,27.457142857142856
770,9506052,3,13,4.333333333333333
771,9602167,11,70,6.363636363636363
772,9606165,11,190,17.272727272727273
773,9612126,18,403,22.38888888888889
774,9704006,9,151,16.77777777777778
775,9704011,18,179,9.944444444444445
776,9803232,64,1869,29.203125
777,9805170,15,265,17.666666666666668
778,9807008,32,741,23.15625
779,9811139,25,782,31.28
780,9904020,15,347,23.133333333333333
781,9904131,47,1379,29.340425531914892
782,9905195,26,637,24.5
783,9906109,37,887,23.972972972972972
784,9907098,21,363,17.285714285714285
785,9909062,30,741,24.7
786,9910249,48,1518,31.625
787,9912142,15,216,14.4
788,1067,9,73,8.11111111111111
789,9309148,1,3,3.0
790,9405193,1,1,1.0
791,9503126,1,0,0.0
792,9505117,8,12,1.5
793,9510108,6,24,4.0
794,9701091,9,21,2.3333333333333335
795,9705034,14,58,4.142857142857143
796,9802141,23,71,3.0869565217391304
797,9904126,10,58,5.8
798,1068,24,368,15.333333333333334
799,9506035,1,8,8.0
800,9506207,14,124,8.857142857142858
801,9509141,2,21,10.5
802,9608177,4,85,21.25
803,9702133,17,368,21.647058823529413
804,9705226,7,76,10.857142857142858
805,9712103,11,113,10.272727272727273
806,9804010,13,155,11.923076923076923
807,9804168,19,227,11.947368421052632
808,9806160,8,83,10.375
809,9809121,5,45,9.0
810,9809153,3,20,6.666666666666667
811,9809190,14,287,20.5
812,9810152,19,492,25.894736842105264
813,9810154,15,338,22.533333333333335
814,9810239,15,178,11.866666666666667
815,9811017,14,413,29.5
816,9811232,37,512,13.837837837837839
817,9812051,33,655,19.848484848484848
818,9905218,7,66,9.428571428571429
819,9906103,15,230,15.333333333333334
820,9908105,59,1660,28.135593220338983
821,9909021,11,102,9.272727272727273
822,9911221,25,704,28.16
823,1069,1,1,1.0
824,1070,10,40,4.0
825,9407168,0,0,0.0
826,9603157,2,3,1.5
827,9604163,5,9,1.8
828,9701172,1,2,2.0
829,9705218,2,2,1.0
830,9711016,7,25,3.5714285714285716
831,9711126,2,3,1.5
832,9803226,3,6,2.0
833,9811079,5,8,1.6
834,9910035,13,85,6.538461538461538
835,9207091,0,0,0.0
836,9702103,33,657,19.90909090909091
837,9704142,37,787,21.27027027027027
838,9910021,13,383,29.46153846153846
839,9912027,20,1040,52.0
840,9912053,17,383,22.529411764705884
841,1072,5,97,19.4
842,9906118,3,639,213.0
843,9906195,6,631,105.16666666666667
844,1073,7,175,25.0
845,9608163,17,303,17.823529411764707
846,9909202,21,480,22.857142857142858
847,9910135,11,232,21.09090909090909
848,9910196,14,363,25.928571428571427
849,1074,6,89,14.833333333333334
850,9804124,41,1096,26.73170731707317
851,9805106,15,326,21.733333333333334
852,9809068,17,380,22.352941176470587
853,9812232,5,93,18.6
854,9905011,5,122,24.4
855,9907102,6,94,15.666666666666666
856,1075,2,6,3.0
