,first_365_days,label,label_name
1180,5.0,1,"(0, 10]"
1181,0.0,0,"(-1, 0]"
1182,30.0,3,"(20, 405]"
1183,6.0,1,"(0, 10]"
1184,4.0,1,"(0, 10]"
1185,1.0,1,"(0, 10]"
1186,0.0,0,"(-1, 0]"
1188,5.0,1,"(0, 10]"
1189,4.0,1,"(0, 10]"
1190,2.0,1,"(0, 10]"
1191,1.0,1,"(0, 10]"
1192,25.0,3,"(20, 405]"
1193,10.0,1,"(0, 10]"
1195,1.0,1,"(0, 10]"
1197,70.0,3,"(20, 405]"
1198,4.0,1,"(0, 10]"
1199,7.0,1,"(0, 10]"
1200,16.0,2,"(10, 20]"
1201,36.0,3,"(20, 405]"
1202,2.0,1,"(0, 10]"
1203,43.0,3,"(20, 405]"
1204,14.0,2,"(10, 20]"
1205,4.0,1,"(0, 10]"
1206,70.0,3,"(20, 405]"
1207,1.0,1,"(0, 10]"
1208,1.0,1,"(0, 10]"
1209,17.0,2,"(10, 20]"
1210,0.0,0,"(-1, 0]"
1211,6.0,1,"(0, 10]"
1212,6.0,1,"(0, 10]"
1213,12.0,2,"(10, 20]"
1214,2.0,1,"(0, 10]"
1215,36.0,3,"(20, 405]"
1216,9.0,1,"(0, 10]"
1217,0.0,0,"(-1, 0]"
1218,3.0,1,"(0, 10]"
1221,1.0,1,"(0, 10]"
1222,2.0,1,"(0, 10]"
2001,0.0,0,"(-1, 0]"
2002,1.0,1,"(0, 10]"
2003,0.0,0,"(-1, 0]"
2004,7.0,1,"(0, 10]"
2006,1.0,1,"(0, 10]"
2007,5.0,1,"(0, 10]"
2008,8.0,1,"(0, 10]"
2009,4.0,1,"(0, 10]"
2010,1.0,1,"(0, 10]"
2011,5.0,1,"(0, 10]"
2012,1.0,1,"(0, 10]"
2013,0.0,0,"(-1, 0]"
2015,0.0,0,"(-1, 0]"
2016,25.0,3,"(20, 405]"
2019,1.0,1,"(0, 10]"
2020,13.0,2,"(10, 20]"
2021,2.0,1,"(0, 10]"
2022,3.0,1,"(0, 10]"
2023,10.0,1,"(0, 10]"
2024,0.0,0,"(-1, 0]"
2025,4.0,1,"(0, 10]"
2026,2.0,1,"(0, 10]"
2027,7.0,1,"(0, 10]"
2028,11.0,2,"(10, 20]"
2029,2.0,1,"(0, 10]"
2030,2.0,1,"(0, 10]"
2031,1.0,1,"(0, 10]"
2032,1.0,1,"(0, 10]"
2033,3.0,1,"(0, 10]"
2034,15.0,2,"(10, 20]"
2035,1.0,1,"(0, 10]"
2037,23.0,3,"(20, 405]"
2038,4.0,1,"(0, 10]"
2039,6.0,1,"(0, 10]"
2040,12.0,2,"(10, 20]"
2041,2.0,1,"(0, 10]"
2042,10.0,1,"(0, 10]"
2043,2.0,1,"(0, 10]"
2044,9.0,1,"(0, 10]"
2045,2.0,1,"(0, 10]"
2046,4.0,1,"(0, 10]"
2047,3.0,1,"(0, 10]"
2049,1.0,1,"(0, 10]"
2050,3.0,1,"(0, 10]"
2051,0.0,0,"(-1, 0]"
2052,0.0,0,"(-1, 0]"
2053,0.0,0,"(-1, 0]"
2054,18.0,2,"(10, 20]"
2056,9.0,1,"(0, 10]"
2057,5.0,1,"(0, 10]"
2058,0.0,0,"(-1, 0]"
2060,1.0,1,"(0, 10]"
2061,5.0,1,"(0, 10]"
2062,1.0,1,"(0, 10]"
2063,2.0,1,"(0, 10]"
2065,3.0,1,"(0, 10]"
2066,13.0,2,"(10, 20]"
2067,40.0,3,"(20, 405]"
2068,1.0,1,"(0, 10]"
2069,1.0,1,"(0, 10]"
2070,7.0,1,"(0, 10]"
2072,64.0,3,"(20, 405]"
2073,16.0,2,"(10, 20]"
2074,0.0,0,"(-1, 0]"
2075,87.0,3,"(20, 405]"
2076,11.0,2,"(10, 20]"
2077,2.0,1,"(0, 10]"
2078,1.0,1,"(0, 10]"
2079,1.0,1,"(0, 10]"
2082,1.0,1,"(0, 10]"
2084,26.0,3,"(20, 405]"
2085,2.0,1,"(0, 10]"
2086,1.0,1,"(0, 10]"
2087,2.0,1,"(0, 10]"
2088,1.0,1,"(0, 10]"
2090,21.0,3,"(20, 405]"
2091,88.0,3,"(20, 405]"
2092,2.0,1,"(0, 10]"
2093,3.0,1,"(0, 10]"
2094,9.0,1,"(0, 10]"
2095,1.0,1,"(0, 10]"
2096,1.0,1,"(0, 10]"
2098,1.0,1,"(0, 10]"
2099,9.0,1,"(0, 10]"
2100,10.0,1,"(0, 10]"
2101,6.0,1,"(0, 10]"
2102,1.0,1,"(0, 10]"
2103,12.0,2,"(10, 20]"
2104,4.0,1,"(0, 10]"
2105,0.0,0,"(-1, 0]"
2106,11.0,2,"(10, 20]"
2107,3.0,1,"(0, 10]"
2108,1.0,1,"(0, 10]"
2110,5.0,1,"(0, 10]"
2111,2.0,1,"(0, 10]"
2114,1.0,1,"(0, 10]"
2116,3.0,1,"(0, 10]"
2117,66.0,3,"(20, 405]"
2118,4.0,1,"(0, 10]"
2119,19.0,2,"(10, 20]"
2120,1.0,1,"(0, 10]"
2121,23.0,3,"(20, 405]"
2122,1.0,1,"(0, 10]"
2123,1.0,1,"(0, 10]"
2125,7.0,1,"(0, 10]"
2126,9.0,1,"(0, 10]"
2127,0.0,0,"(-1, 0]"
2128,4.0,1,"(0, 10]"
2129,1.0,1,"(0, 10]"
2130,11.0,2,"(10, 20]"
2131,3.0,1,"(0, 10]"
2132,9.0,1,"(0, 10]"
2133,0.0,0,"(-1, 0]"
2134,0.0,0,"(-1, 0]"
2135,0.0,0,"(-1, 0]"
2136,2.0,1,"(0, 10]"
2138,7.0,1,"(0, 10]"
2139,2.0,1,"(0, 10]"
2140,4.0,1,"(0, 10]"
2141,1.0,1,"(0, 10]"
2142,1.0,1,"(0, 10]"
2143,21.0,3,"(20, 405]"
2145,9.0,1,"(0, 10]"
2146,4.0,1,"(0, 10]"
2147,16.0,2,"(10, 20]"
2148,0.0,0,"(-1, 0]"
2149,9.0,1,"(0, 10]"
2150,2.0,1,"(0, 10]"
2151,1.0,1,"(0, 10]"
2152,1.0,1,"(0, 10]"
2153,1.0,1,"(0, 10]"
2154,11.0,2,"(10, 20]"
2155,0.0,0,"(-1, 0]"
2156,5.0,1,"(0, 10]"
2157,4.0,1,"(0, 10]"
2158,36.0,3,"(20, 405]"
2159,41.0,3,"(20, 405]"
2160,66.0,3,"(20, 405]"
2161,45.0,3,"(20, 405]"
2162,1.0,1,"(0, 10]"
2164,25.0,3,"(20, 405]"
2165,1.0,1,"(0, 10]"
2166,0.0,0,"(-1, 0]"
2167,4.0,1,"(0, 10]"
2169,2.0,1,"(0, 10]"
2170,12.0,2,"(10, 20]"
2171,29.0,3,"(20, 405]"
2172,13.0,2,"(10, 20]"
2173,4.0,1,"(0, 10]"
2174,24.0,3,"(20, 405]"
2175,6.0,1,"(0, 10]"
2176,6.0,1,"(0, 10]"
2179,0.0,0,"(-1, 0]"
2180,11.0,2,"(10, 20]"
2181,2.0,1,"(0, 10]"
2182,1.0,1,"(0, 10]"
2183,2.0,1,"(0, 10]"
2184,4.0,1,"(0, 10]"
2185,2.0,1,"(0, 10]"
2186,74.0,3,"(20, 405]"
2187,2.0,1,"(0, 10]"
2188,2.0,1,"(0, 10]"
2189,1.0,1,"(0, 10]"
2190,49.0,3,"(20, 405]"
2191,8.0,1,"(0, 10]"
2192,17.0,2,"(10, 20]"
2193,7.0,1,"(0, 10]"
2194,5.0,1,"(0, 10]"
2195,1.0,1,"(0, 10]"
2196,1.0,1,"(0, 10]"
2197,0.0,0,"(-1, 0]"
2198,7.0,1,"(0, 10]"
2199,0.0,0,"(-1, 0]"
2203,1.0,1,"(0, 10]"
2204,2.0,1,"(0, 10]"
2205,2.0,1,"(0, 10]"
2208,0.0,0,"(-1, 0]"
2209,2.0,1,"(0, 10]"
2210,16.0,2,"(10, 20]"
2211,78.0,3,"(20, 405]"
2212,2.0,1,"(0, 10]"
2213,2.0,1,"(0, 10]"
2214,2.0,1,"(0, 10]"
2215,1.0,1,"(0, 10]"
2216,0.0,0,"(-1, 0]"
2217,3.0,1,"(0, 10]"
2218,1.0,1,"(0, 10]"
2219,2.0,1,"(0, 10]"
2222,18.0,2,"(10, 20]"
2223,33.0,3,"(20, 405]"
2225,1.0,1,"(0, 10]"
2226,13.0,2,"(10, 20]"
2227,2.0,1,"(0, 10]"
2228,11.0,2,"(10, 20]"
2229,0.0,0,"(-1, 0]"
2230,18.0,2,"(10, 20]"
2231,4.0,1,"(0, 10]"
2233,1.0,1,"(0, 10]"
2234,2.0,1,"(0, 10]"
2235,0.0,0,"(-1, 0]"
2236,11.0,2,"(10, 20]"
2237,68.0,3,"(20, 405]"
2238,1.0,1,"(0, 10]"
2239,5.0,1,"(0, 10]"
2240,2.0,1,"(0, 10]"
2241,2.0,1,"(0, 10]"
2242,8.0,1,"(0, 10]"
2243,1.0,1,"(0, 10]"
2244,11.0,2,"(10, 20]"
2245,12.0,2,"(10, 20]"
2247,0.0,0,"(-1, 0]"
2250,2.0,1,"(0, 10]"
2251,2.0,1,"(0, 10]"
2254,2.0,1,"(0, 10]"
2255,0.0,0,"(-1, 0]"
2256,8.0,1,"(0, 10]"
3001,1.0,1,"(0, 10]"
3002,3.0,1,"(0, 10]"
3003,1.0,1,"(0, 10]"
3004,5.0,1,"(0, 10]"
3005,5.0,1,"(0, 10]"
3006,14.0,2,"(10, 20]"
3007,26.0,3,"(20, 405]"
3008,2.0,1,"(0, 10]"
3009,3.0,1,"(0, 10]"
3010,0.0,0,"(-1, 0]"
3011,4.0,1,"(0, 10]"
3012,12.0,2,"(10, 20]"
3013,2.0,1,"(0, 10]"
3014,0.0,0,"(-1, 0]"
3016,2.0,1,"(0, 10]"
3017,4.0,1,"(0, 10]"
3018,3.0,1,"(0, 10]"
3020,33.0,3,"(20, 405]"
3022,4.0,1,"(0, 10]"
3023,1.0,1,"(0, 10]"
3024,17.0,2,"(10, 20]"
3025,10.0,1,"(0, 10]"
3026,1.0,1,"(0, 10]"
3027,0.0,0,"(-1, 0]"
3029,5.0,1,"(0, 10]"
3030,0.0,0,"(-1, 0]"
3031,58.0,3,"(20, 405]"
3032,12.0,2,"(10, 20]"
3033,10.0,1,"(0, 10]"
3034,0.0,0,"(-1, 0]"
3035,1.0,1,"(0, 10]"
3036,3.0,1,"(0, 10]"
3037,33.0,3,"(20, 405]"
3038,4.0,1,"(0, 10]"
3039,1.0,1,"(0, 10]"
3041,1.0,1,"(0, 10]"
3042,4.0,1,"(0, 10]"
3043,0.0,0,"(-1, 0]"
3044,2.0,1,"(0, 10]"
3045,24.0,3,"(20, 405]"
3046,2.0,1,"(0, 10]"
3048,3.0,1,"(0, 10]"
3049,3.0,1,"(0, 10]"
3050,10.0,1,"(0, 10]"
3051,9.0,1,"(0, 10]"
3052,49.0,3,"(20, 405]"
3053,8.0,1,"(0, 10]"
3054,32.0,3,"(20, 405]"
3055,4.0,1,"(0, 10]"
3056,5.0,1,"(0, 10]"
3057,18.0,2,"(10, 20]"
3058,7.0,1,"(0, 10]"
3059,1.0,1,"(0, 10]"
3061,12.0,2,"(10, 20]"
3062,1.0,1,"(0, 10]"
3063,2.0,1,"(0, 10]"
3064,1.0,1,"(0, 10]"
3065,1.0,1,"(0, 10]"
3066,2.0,1,"(0, 10]"
3067,25.0,3,"(20, 405]"
3068,2.0,1,"(0, 10]"
3070,2.0,1,"(0, 10]"
3071,0.0,0,"(-1, 0]"
3072,3.0,1,"(0, 10]"
3073,1.0,1,"(0, 10]"
3074,25.0,3,"(20, 405]"
3075,42.0,3,"(20, 405]"
3076,24.0,3,"(20, 405]"
3077,2.0,1,"(0, 10]"
3078,2.0,1,"(0, 10]"
3079,1.0,1,"(0, 10]"
3081,0.0,0,"(-1, 0]"
3082,0.0,0,"(-1, 0]"
3085,6.0,1,"(0, 10]"
3086,2.0,1,"(0, 10]"
3087,0.0,0,"(-1, 0]"
3092,2.0,1,"(0, 10]"
3093,5.0,1,"(0, 10]"
3095,0.0,0,"(-1, 0]"
3096,9.0,1,"(0, 10]"
3097,1.0,1,"(0, 10]"
3098,1.0,1,"(0, 10]"
3099,6.0,1,"(0, 10]"
3100,10.0,1,"(0, 10]"
3101,56.0,3,"(20, 405]"
3102,1.0,1,"(0, 10]"
3103,13.0,2,"(10, 20]"
3106,1.0,1,"(0, 10]"
3107,0.0,0,"(-1, 0]"
3108,1.0,1,"(0, 10]"
3109,5.0,1,"(0, 10]"
3110,9.0,1,"(0, 10]"
3111,1.0,1,"(0, 10]"
3112,3.0,1,"(0, 10]"
3113,43.0,3,"(20, 405]"
3114,6.0,1,"(0, 10]"
3115,1.0,1,"(0, 10]"
3116,8.0,1,"(0, 10]"
3117,33.0,3,"(20, 405]"
3118,10.0,1,"(0, 10]"
3120,5.0,1,"(0, 10]"
3121,3.0,1,"(0, 10]"
3122,31.0,3,"(20, 405]"
3123,1.0,1,"(0, 10]"
3124,20.0,2,"(10, 20]"
3125,0.0,0,"(-1, 0]"
3127,1.0,1,"(0, 10]"
3128,2.0,1,"(0, 10]"
3129,3.0,1,"(0, 10]"
3130,0.0,0,"(-1, 0]"
3131,2.0,1,"(0, 10]"
3133,0.0,0,"(-1, 0]"
3134,1.0,1,"(0, 10]"
3135,2.0,1,"(0, 10]"
3136,82.0,3,"(20, 405]"
3137,17.0,2,"(10, 20]"
3138,3.0,1,"(0, 10]"
3139,9.0,1,"(0, 10]"
3140,2.0,1,"(0, 10]"
3141,1.0,1,"(0, 10]"
3142,1.0,1,"(0, 10]"
3143,3.0,1,"(0, 10]"
3144,6.0,1,"(0, 10]"
3145,37.0,3,"(20, 405]"
3146,2.0,1,"(0, 10]"
3147,15.0,2,"(10, 20]"
3148,7.0,1,"(0, 10]"
3149,1.0,1,"(0, 10]"
3150,0.0,0,"(-1, 0]"
3151,8.0,1,"(0, 10]"
3152,2.0,1,"(0, 10]"
3153,4.0,1,"(0, 10]"
3154,0.0,0,"(-1, 0]"
3155,3.0,1,"(0, 10]"
3156,0.0,0,"(-1, 0]"
3157,1.0,1,"(0, 10]"
3158,2.0,1,"(0, 10]"
3159,0.0,0,"(-1, 0]"
3160,112.0,3,"(20, 405]"
3161,3.0,1,"(0, 10]"
3162,11.0,2,"(10, 20]"
3163,1.0,1,"(0, 10]"
3166,8.0,1,"(0, 10]"
3169,2.0,1,"(0, 10]"
3170,0.0,0,"(-1, 0]"
3171,2.0,1,"(0, 10]"
3172,2.0,1,"(0, 10]"
3173,14.0,2,"(10, 20]"
3174,3.0,1,"(0, 10]"
3175,2.0,1,"(0, 10]"
3176,24.0,3,"(20, 405]"
3177,5.0,1,"(0, 10]"
3178,3.0,1,"(0, 10]"
3179,3.0,1,"(0, 10]"
3180,39.0,3,"(20, 405]"
3183,15.0,2,"(10, 20]"
3184,4.0,1,"(0, 10]"
3185,1.0,1,"(0, 10]"
3187,26.0,3,"(20, 405]"
3188,10.0,1,"(0, 10]"
3189,1.0,1,"(0, 10]"
3190,1.0,1,"(0, 10]"
3191,3.0,1,"(0, 10]"
3192,3.0,1,"(0, 10]"
3193,2.0,1,"(0, 10]"
3194,1.0,1,"(0, 10]"
3195,1.0,1,"(0, 10]"
3196,1.0,1,"(0, 10]"
3197,20.0,2,"(10, 20]"
3198,9.0,1,"(0, 10]"
3199,3.0,1,"(0, 10]"
3200,3.0,1,"(0, 10]"
3201,0.0,0,"(-1, 0]"
3202,1.0,1,"(0, 10]"
3203,6.0,1,"(0, 10]"
3204,4.0,1,"(0, 10]"
3205,5.0,1,"(0, 10]"
3206,3.0,1,"(0, 10]"
3208,19.0,2,"(10, 20]"
3209,0.0,0,"(-1, 0]"
3210,3.0,1,"(0, 10]"
3211,6.0,1,"(0, 10]"
3213,3.0,1,"(0, 10]"
3215,34.0,3,"(20, 405]"
3216,16.0,2,"(10, 20]"
3217,0.0,0,"(-1, 0]"
3218,7.0,1,"(0, 10]"
3219,8.0,1,"(0, 10]"
3220,45.0,3,"(20, 405]"
3221,30.0,3,"(20, 405]"
3222,0.0,0,"(-1, 0]"
3223,5.0,1,"(0, 10]"
3224,1.0,1,"(0, 10]"
3225,1.0,1,"(0, 10]"
3226,6.0,1,"(0, 10]"
3227,20.0,2,"(10, 20]"
3228,3.0,1,"(0, 10]"
3229,0.0,0,"(-1, 0]"
3230,3.0,1,"(0, 10]"
3231,17.0,2,"(10, 20]"
3232,3.0,1,"(0, 10]"
3233,1.0,1,"(0, 10]"
3234,1.0,1,"(0, 10]"
3235,1.0,1,"(0, 10]"
3236,28.0,3,"(20, 405]"
3237,30.0,3,"(20, 405]"
3238,1.0,1,"(0, 10]"
3239,2.0,1,"(0, 10]"
3240,1.0,1,"(0, 10]"
3242,19.0,2,"(10, 20]"
3243,3.0,1,"(0, 10]"
3244,1.0,1,"(0, 10]"
3245,0.0,0,"(-1, 0]"
3246,2.0,1,"(0, 10]"
3247,0.0,0,"(-1, 0]"
3248,11.0,2,"(10, 20]"
3249,5.0,1,"(0, 10]"
3251,2.0,1,"(0, 10]"
3252,0.0,0,"(-1, 0]"
3253,3.0,1,"(0, 10]"
3254,1.0,1,"(0, 10]"
3255,0.0,0,"(-1, 0]"
3256,9.0,1,"(0, 10]"
3257,1.0,1,"(0, 10]"
3258,0.0,0,"(-1, 0]"
3259,1.0,1,"(0, 10]"
3260,1.0,1,"(0, 10]"
3261,11.0,2,"(10, 20]"
3262,5.0,1,"(0, 10]"
3263,29.0,3,"(20, 405]"
3264,3.0,1,"(0, 10]"
3265,3.0,1,"(0, 10]"
3267,0.0,0,"(-1, 0]"
3268,1.0,1,"(0, 10]"
3269,8.0,1,"(0, 10]"
3270,2.0,1,"(0, 10]"
3271,3.0,1,"(0, 10]"
3272,6.0,1,"(0, 10]"
3273,10.0,1,"(0, 10]"
3274,0.0,0,"(-1, 0]"
3275,3.0,1,"(0, 10]"
3276,1.0,1,"(0, 10]"
3277,1.0,1,"(0, 10]"
3278,19.0,2,"(10, 20]"
3279,1.0,1,"(0, 10]"
3280,11.0,2,"(10, 20]"
3281,3.0,1,"(0, 10]"
3282,3.0,1,"(0, 10]"
3283,1.0,1,"(0, 10]"
3284,1.0,1,"(0, 10]"
3285,3.0,1,"(0, 10]"
3286,18.0,2,"(10, 20]"
3288,0.0,0,"(-1, 0]"
3289,4.0,1,"(0, 10]"
3290,5.0,1,"(0, 10]"
3291,2.0,1,"(0, 10]"
3292,1.0,1,"(0, 10]"
3293,1.0,1,"(0, 10]"
3294,6.0,1,"(0, 10]"
3295,3.0,1,"(0, 10]"
3296,1.0,1,"(0, 10]"
3297,0.0,0,"(-1, 0]"
3298,11.0,2,"(10, 20]"
3299,5.0,1,"(0, 10]"
3300,25.0,3,"(20, 405]"
3301,1.0,1,"(0, 10]"
4002,2.0,1,"(0, 10]"
4003,16.0,2,"(10, 20]"
4004,1.0,1,"(0, 10]"
4005,21.0,3,"(20, 405]"
4006,2.0,1,"(0, 10]"
4009,4.0,1,"(0, 10]"
4010,2.0,1,"(0, 10]"
4011,9.0,1,"(0, 10]"
4012,1.0,1,"(0, 10]"
4013,28.0,3,"(20, 405]"
4014,38.0,3,"(20, 405]"
4015,33.0,3,"(20, 405]"
4016,0.0,0,"(-1, 0]"
4017,1.0,1,"(0, 10]"
4018,1.0,1,"(0, 10]"
4019,4.0,1,"(0, 10]"
4020,1.0,1,"(0, 10]"
4021,4.0,1,"(0, 10]"
4022,8.0,1,"(0, 10]"
4023,1.0,1,"(0, 10]"
4024,9.0,1,"(0, 10]"
4025,3.0,1,"(0, 10]"
4026,1.0,1,"(0, 10]"
4027,2.0,1,"(0, 10]"
4028,17.0,2,"(10, 20]"
4030,4.0,1,"(0, 10]"
4032,4.0,1,"(0, 10]"
4033,2.0,1,"(0, 10]"
4036,0.0,0,"(-1, 0]"
4037,0.0,0,"(-1, 0]"
4038,19.0,2,"(10, 20]"
4039,1.0,1,"(0, 10]"
4040,3.0,1,"(0, 10]"
4041,1.0,1,"(0, 10]"
4043,1.0,1,"(0, 10]"
4044,1.0,1,"(0, 10]"
4046,0.0,0,"(-1, 0]"
4048,3.0,1,"(0, 10]"
4049,3.0,1,"(0, 10]"
4051,1.0,1,"(0, 10]"
4052,1.0,1,"(0, 10]"
4053,0.0,0,"(-1, 0]"
4054,0.0,0,"(-1, 0]"
4056,15.0,2,"(10, 20]"
4057,13.0,2,"(10, 20]"
4058,0.0,0,"(-1, 0]"
4059,1.0,1,"(0, 10]"
4060,2.0,1,"(0, 10]"
4061,9.0,1,"(0, 10]"
4062,7.0,1,"(0, 10]"
4063,26.0,3,"(20, 405]"
4064,2.0,1,"(0, 10]"
4065,2.0,1,"(0, 10]"
4067,16.0,2,"(10, 20]"
4068,9.0,1,"(0, 10]"
4069,1.0,1,"(0, 10]"
4070,2.0,1,"(0, 10]"
4071,12.0,2,"(10, 20]"
4072,18.0,2,"(10, 20]"
4073,3.0,1,"(0, 10]"
4074,25.0,3,"(20, 405]"
4075,3.0,1,"(0, 10]"
4076,6.0,1,"(0, 10]"
4077,9.0,1,"(0, 10]"
4078,1.0,1,"(0, 10]"
4080,16.0,2,"(10, 20]"
4081,6.0,1,"(0, 10]"
4082,0.0,0,"(-1, 0]"
4083,3.0,1,"(0, 10]"
4084,4.0,1,"(0, 10]"
4085,11.0,2,"(10, 20]"
4086,3.0,1,"(0, 10]"
4087,4.0,1,"(0, 10]"
4088,1.0,1,"(0, 10]"
4089,8.0,1,"(0, 10]"
4090,4.0,1,"(0, 10]"
4092,1.0,1,"(0, 10]"
4093,20.0,2,"(10, 20]"
4094,1.0,1,"(0, 10]"
4095,4.0,1,"(0, 10]"
4096,2.0,1,"(0, 10]"
4097,27.0,3,"(20, 405]"
4098,3.0,1,"(0, 10]"
4100,2.0,1,"(0, 10]"
4101,8.0,1,"(0, 10]"
4102,8.0,1,"(0, 10]"
4103,23.0,3,"(20, 405]"
4104,6.0,1,"(0, 10]"
4105,1.0,1,"(0, 10]"
4106,17.0,2,"(10, 20]"
4107,1.0,1,"(0, 10]"
4108,0.0,0,"(-1, 0]"
4109,15.0,2,"(10, 20]"
4111,32.0,3,"(20, 405]"
4112,8.0,1,"(0, 10]"
4113,2.0,1,"(0, 10]"
4114,12.0,2,"(10, 20]"
4115,20.0,2,"(10, 20]"
4116,2.0,1,"(0, 10]"
4117,2.0,1,"(0, 10]"
4119,4.0,1,"(0, 10]"
4120,0.0,0,"(-1, 0]"
